Function,Method,Mean Best Fitness,Std Deviation
Sphere,BPSO,0.06166830947594733,0.020588250555642815
Sphere,HPSO,0.0942740181497477,0.033943530135193835
Sphere,TPSO,0.10571722721321568,0.0558083634573868
Sphere,LCGPSO,0.11646404876958365,0.08254127570294631
Sphere,MCGPSO,0.10286829891924991,0.05625183902369837
Ackley,BPSO,4.152952647330631,0.9581029642363018
Ackley,HPSO,19.981534651976812,0.0006831261362897577
Ackley,TPSO,16.753523444544193,6.457517262965203
Ackley,LCGPSO,7.365223779782729,6.3527331367812865
Ackley,MCGPSO,4.36759395958388,0.8113045851508741
Salomon,BPSO,1.6398733458468109,0.9789790600416332
Salomon,HPSO,1.519873345846811,0.43081318457076023
Salomon,TPSO,2.4398733458468107,2.6318054639353567
Salomon,LCGPSO,2.449873345846811,2.5962472917655592
Salomon,MCGPSO,1.5998733458468108,0.4049691346263316
